"centre_band","sea_state","no","species","trip","flightresponse","bin_resp"
25,4,2,"LN","05-Jan Houton-Lyness",0,0
75,4,1,"ND","05-Jan Houton-Lyness",0,0
75,4,1,"SA","05-Jan Houton-Lyness",0,0
25,4,2,"E","05-Jan Houton-Lyness",0,0
25,4,1,"TY","05-Jan Houton-Lyness",0,0
25,4,1,"TY","05-Jan Houton-Lyness",1,1
25,4,1,"TY","05-Jan Houton-Lyness",0,1
25,4,1,"ND","05-Jan Houton-Lyness",0,0
25,4,1,"TY","05-Jan Houton-Lyness",0,0
25,4,3,"TY","05-Jan Houton-Lyness",1,1
25,4,1,"ND","05-Jan Houton-Lyness",0,0
25,4,1,"ND","05-Jan Houton-Lyness",0,0
25,4,1,"TY","05-Jan Houton-Lyness",0,0
75,4,1,"TY","05-Jan Houton-Lyness",0,0
150,4,1,"SA","05-Jan Houton-Lyness",1,1
75,4,1,"ND","05-Jan Houton-Lyness",0,0
150,4,2,"E","05-Jan Houton-Lyness",0,0
75,4,2,"E","05-Jan Houton-Lyness",0,0
150,4,1,"ND","05-Jan Houton-Lyness",0,0
250,4,1,"ND","05-Jan Houton-Lyness",0,0
250,4,8,"ND","05-Jan Houton-Lyness",0,0
25,4,3,"E","05-Jan Houton-Lyness",0,0
75,4,2,"E","05-Jan Houton-Lyness",0,0
25,4,1,"TY","05-Jan Houton-Lyness",0,1
150,4,3,"E","05-Jan Houton-Lyness",0,0
25,4,5,"E","05-Jan Houton-Lyness",0,1
25,4,2,"E","05-Jan Houton-Lyness",0,1
75,4,8,"ND","05-Jan Houton-Lyness",0,1
25,4,1,"TY","05-Jan Houton-Lyness",1,1
75,4,5,"LN","05-Jan Houton-Lyness",0,1
75,4,2,"E","05-Jan Houton-Lyness",0,1
75,4,1,"SA","05-Jan Houton-Lyness",0,1
75,4,12,"E","05-Jan Houton-Lyness",1,1
75,4,5,"LN","05-Jan Houton-Lyness",1,1
150,4,16,"E","05-Jan Houton-Lyness",0,0
75,4,1,"TY","05-Jan Houton-Lyness",0,1
75,4,1,"TY","05-Jan Lyness-Flotta",0,0
25,4,1,"TY","05-Jan Lyness-Flotta",0,1
25,4,1,"TY","05-Jan Lyness-Flotta",0,0
75,4,1,"TY","05-Jan Lyness-Flotta",0,0
25,4,1,"TY","05-Jan Lyness-Flotta",0,1
150,4,3,"E","05-Jan Lyness-Flotta",0,1
250,4,2,"LN","05-Jan Lyness-Flotta",0,0
150,4,1,"ND","05-Jan Lyness-Flotta",0,0
